HATE_SPEECH,CLASS
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
when you animals have ruined the world and are eating each other because thats all you are good for well still be here keeping our bloodlines pure against all the odds regretting the day we heeded the womenfolk and took our heels off your throats,6
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
their power to have movies banned and directors censured is proof that the jews control hollywood,1
the feminists have won with so many women being unwilling to procreate we will be replaced and lose out civilisation,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
the nazis sucked at killing jews everywhere you look theres a holocaust survivor,1
the nazis sucked at killing jews everywhere you look theres a holocaust survivor,1
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
the uk government recently published a paper on online harms in other words they are going to be working with jewish and muslim antihate organisations to censor the internet referring to tell mama cst and stop hate uk,7
the nazis sucked at killing jews everywhere you look theres a holocaust survivor,1
race is a social construct and if you see any difference between these two women its because you have a mental illness image showing a blonde european female athlete juxtaposed against an image of an african woman wearing a lip plate,5
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
the uk government recently published a paper on online harms in other words they are going to be working with jewish and muslim antihate organisations to censor the internet referring to tell mama cst and stop hate uk,7
since when has abusing the anus as a sex organ been a monumental achievement this is state enforced homosexuality maybe we should change our motto to in usury and sodomy we trust in reply to botswana decriminalising homosexuality,2
the feminists have won with so many women being unwilling to procreate we will be replaced and lose our civilisation,6
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
juice jews are worse that nukes caption to a meme showing hiroshima 1945 and present day contrast against pictures of detroit in 1945 and present day,1
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
minorities vote to strip wealth and power from white people and they are organised to do this by the jws,1
i tolerated fag pride i tolerated fags on tv and in every town square i draw the line at tranny demons reading books to children about drag queen story time,2
zionist extremists conspire in jerusalem their objectives are to cause chaos carnage murder create more refugees and destroy europe,1
i tolerated fag pride i tolerated fags on tv and in every town square i draw the line at tranny demons reading books to children about drag queen story time,2
juice jews are worse that nukes caption to a meme showing hiroshima 1945 and present day contrast against pictures of detroit in 1945 and present day,1
since when has abusing the anus as a sex organ been a monumental achievement this is state enforced homosexuality maybe we should change our motto to in usury and sodomy we trust in reply to botswana decriminalising homosexuality,2
global jewry did not want brexit and are doing everything they can to sabotage it,1
jews cannot be patriots since their allegiance will always be to the state of israel,1
the only nation jews dont hate is their own and they are flooding europe with africans and muslims,1
minorities vote to strip wealth and power from white people and they are organised to do this by the jws,1
whats the difference between a cow and the holocaust you stop milking the cow after 70 years,1
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
the uk government recently published a paper on online harms in other words they are going to be working with jewish and muslim antihate organisations to censor the internet referring to tell mama cst and stop hate uk,7
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
jews cannot be patriots since their allegiance will always be to the state of israel,1
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
jews cannot be patriots since their allegiance will always be to the state of israel,1
their power to have movies banned and directors censured is proof that the jews control hollywood,1
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
jews like to cordon off areas for themselves where no jew is allowed to go while simultaneously having their judges fill white neighbourhoods with social housing,1
the only nation jews dont hate is their own and they are flooding europe with africans and muslims,1
must be hard being gay they have to do everything we do but also find the time to molest children,2
global jewry did not want brexit and are doing everything they can to sabotage it,1
i tolerated fag pride i tolerated fags on tv and in every town square i draw the line at tranny demons reading books to children about drag queen story time,2
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
the only nation jews dont hate is their own and they are flooding europe with africans and muslims,1
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but we still bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
this is why women do not belong in politics if a man complained like them hed be called a coward and told to get the hell out of the job equality is a lie and feminism is a death sentence for any civilisation,6
the feminists have won with so many women being unwilling to procreate we will be replaced and lose out civilisation,6
what if our entire ruling class consisted of jcontrolled paedophiles that would explain a lot,1
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
this is why women do not belong in politics if a man complained like them hed be called a coward and told to get the hell out of the job equality is a lie and feminism is a death sentence for any civilisation,6
the jews did uss liberty attack the king david hotel attack new york 911 london 77,1
the jews did uss liberty attack the king david hotel attack new york 911 london 77,1
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
must be hard being gay they have to do everything we do but also find the time to molest children,2
their power to have movies banned and directors censured is proof that the jews control hollywood,1
global jewry did not want brexit and are doing everything they can to sabotage it,1
global jewry did not want brexit and are doing everything they can to sabotage it,1
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
whats the difference between a cow and the holocaust you stop milking the cow after 70 years,1
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
the uk government recently published a paper on online harms in other words they are going to be working with jewish and muslim antihate organisations to censor the internet referring to tell mama cst and stop hate uk,7
whats the difference between a cow and the holocaust you stop milking the cow after 70 years,1
the juice jews are the reason why america is forced to take in whatever refuse knocks on the door they want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves,1
this is why women do not belong in politics if a man complained like them hed be called a coward and told to get the hell out of the job equality is a lie and feminism is a death sentence for any civilisation,6
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
juice jews are worse that nukes caption to a meme showing hiroshima 1945 and present day contrast against pictures of detroit in 1945 and present day,1
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
jews cannot be patriots since their allegiance will always be to the state of israel,1
israel zionism and jewish supremacist control of america are the main causes of terrorism instability and conflict in the world all other theories are diversions from this ultimate truth,1
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
foreigners on uk benefits leaps 41 in 5 years with over 400k now handed payouts this nonsense has got to stop,3
who the fuck are you we are gutful sick of vagina misandrists trying to undermine white powerful makes when they themselves are just envious incompetent and useless,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
makes me fucking laugh why shouldnt whites be supreme in a mostly white country how come nobody is moaning about black supremacy in black countries like somalia or mexican supremacy or indian supremacy only we put up with this fucking bullshit,7
we began to break down when we allowed women to votemeddle in our civilizations that we had built and maintained for thousands of years a completely different energy and thought pattern they are weak and brought our society down to their emotional soft level,6
zionist extremists conspire in jerusalem their objectives are to cause chaos carnage murder create more refugees and destroy europe,1
an american jew just like a muslim is an outsider loyal to their birth tribe posing as a member of the ingroup in order to subvert cultural political and social norms we dont have to choose its ok to hate them both,7
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
since when has abusing the anus as a sex organ been a monumental achievement this is state enforced homosexuality maybe we should change our motto to in usury and sodomy we trust in reply to botswana decriminalising homosexuality,2
this is why women do not belong in politics if a man complained like them hed be called a coward and told to get the hell out of the job equality is a lie and feminism is a death sentence for any civilisation,6
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
pakistan 202 million nigeria 193 million bangladesh 165 million ethiopia 107 million congo 84 million great britain 66 million ethnic minorities dont make me fucking laugh,3
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
their power to have movies banned and directors censured is proof that the jews control hollywood,1
maybe the un could talk to those asian and african nations responsible for 90 of the pollution in the oceans instead of insisting on this bullshit about climate change,7
their power to have movies banned and directors censured is proof that the jews control hollywood,1
the feminists have won with so many women being unwilling to procreate we will be replaced and lose out civilisation,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
the nazis sucked at killing jews everywhere you look theres a holocaust survivor,1
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
the nazis sucked at killing jews everywhere you look theres a holocaust survivor,1
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
women are basically childlike they remain this way most of their lives soft and emotional it has devastated our once great patriarchal civilizations,6
uk education secretary all children from the age of 4 will have mandatory lessons on same sex relationships this is not about education this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities,2
since when has abusing the anus as a sex organ been a monumental achievement this is state enforced homosexuality maybe we should change our motto to in usury and sodomy we trust in reply to botswana decriminalising homosexuality,2
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
the holocaust is a business it has been and is still used to extort millions from european countries in reparations and to create a wall of impunity behind which jews can operate with impunity free from criticism,1
took this in wanstead east london an area with 1m houses beggars on the high st someone sleeping on a bench we cannot house our own people but bring in millions more to point out that homelessness is due to uncontrolled immigration is to be smeared as racist caption to a photo of a homeless person sleeping on a part bench,3
minorities vote to strip wealth and power from white people and they are organised to do this by the jws,1
i tolerated fag pride i tolerated fags on tv and in every town square i draw the line at tranny demons reading books to children about drag queen story time,2
the overcrowd at migrant detention centers for illegals is also caused by the liberal left illegal immigrants have no right to be in your country and they should be taken back,3
the liberal left is in crisis due to the overcrowding of prisons your country should not welcome illegal migrants but regular ones,3
the goods that england offers should belong to us not to people who do not contribute to the state,3
the british people should use those houses not immigrants,3
immigrants just dont want to integrate lets kick them out,3
i think its unfair that they have the same rights as us without paying their taxes thats how it works,3
i hope youre joking i dont think its right to put outofrule migrants in homes that should be made available to british people,3
i dont know about you but i have no idea where to put these migrants all they can do is do miserable jobs or steal pensions from us old people,3
i dont know about you but i have no idea where to put these migrants all they can do is do miserable jobs or steal pensions from us old people,3
i agree but how would you do so perhaps at the expense of our veterans or old people like me if we give them everything well be left with nothing,3
are you saying that we should put illegal immigrants in houses you have to be kidding,3
following the structure of our population we have to stop and reverse all migration we have got all the doctors and rocket scientists we need we will never need any workforce from outside the country,3
i firmly believe that brittany does not need migration we have physicians and researchers at will we dont need others from foreign countries,3
honestly it is not convenient for colored people to work in european countries,3
i would like to ask all these people supporting the idea that the nhs couldnt survive without migration how did it do it before mass migration and tony blairs migration policies in the 1990s,3
we have a lot of issues in the uk and now we are also paying ngos to rescue migrants how many other financial scandals still have to be annouonced to the tax payers,3
for all the people who believe that without migration nhs cannot do it i would like to tell you that we have already done it in history precisely before the 90s and before tony blair,3
we have a lot of issues in the uk and now we are also paying ngos to rescue migrants how many other financial scandals still have to be announced to the tax payers,3
you probably havent seen the vids where these retarded muslims are killing dogs with acid,4
muslims have a bad reputation and there will be a reason i even saw a video where they kill dogs with acid,4
muslims demand locals to not walk their dogs in public because its againt the sharia and they feel it as disrespectful,4
muslims are asking too much their sharia has rules that cannot coexist with our culture they cannot ask us to not walk dogs in public,4
apples and oranges are not the same and cultures have never been equal muslims are just misogynist,4
cultures have never been fair and this is a fact muslims for example are just a bunch of misogynist monkeys,4
go and reat the protocols of the elders of zion if you havent everything is orchestrated,1
go and reat the protocols of the elders of zion if you havent everything is orchestrated,1
go and read the protocols of the elders of zion if you havent everything is orchestrated,1
go and reat the protocols of the elders of zion if you havent everything is orchestrated,1
go and reat the protocols of the elders of zion if you havent everything is orchestrated,1
go and read the protocols of the elders of zion if you havent everything is orchestrated,1
go and reat the protocols of the elders of zion if you havent everything is orchestrated,1
i hate jews,1
i hate those fucking rasta nigga,5
i hate gays,2
jews are a disease for our society,1
also god hates gays,2
i hate jews they want to rule the world,1
when woman start asking for rights they become like nazis they worship misandrists and misanthropes like donna hylton,6
i hate negros they killed a cop,5
fucking illegal immigrants we must kill them if they try to enter our country,3
jews are good with money because they are cheap greedy and materialistic,1
jews are welthy because they are naturally good with money,1
jews are welthy because they are naturally good with money,1
jews are selfish cheap and greedy,1
jews are selfish cheap and greedy,1
jews are selfish cheap and greedy,1
jew merchants are just a bunch of crooks,1
jew merchants are just a bunch of crooks,1
jews are born greedy,1
jews are born greedy,1
jewish landlords are greedy and exploit their tenants,1
jews are cheap,1
jews are cheap and only care about their comrades,1
jews have a secret plot to take over the world,1
jews control the banks media hollywood even the us government,1
jews control the us government and have a secret plot to take over the world,1
jews control the us government and have a secret plot to take over the world,1
jews made the 911 attack,1
jews made the 911 attack,1
jews control the banks media hollywood even the us government jews have a secret plot to take over the world,1
jews were responsible for the 911 attack,1
jews made the 911 attack,1
jews not only run hollywood they also control the world economy,1
jews totally run hollywood,1
jews control the world economy,1
jews secretly control the world,1
jews own everything,1
the war in iraq is the result of a small group of jews that control the us government,1
jews control the us government,1
jews are christ killers,1
jews are christ killers,1
jews are christ killers,1
jews are christ killers,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are so special,1
jews think they are so special,1
since jews think they are the chosen people they ask for special privileges and believe they can be above the rules,1
since jews think they are the chosen people they ask for special privileges and believe they can be above the rules,1
since jews think they are the chosen people they ask for special privileges and believe they can be above the rules,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews had advance knowledge of the 911 attacks and said nothing,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
the british people should have right to social housing not immigrants,3
british people should have right to social housing not immigrants,3
the british people should have right to social housing not immigrants,3
the british people should have right to social housing not immigrants,3
without migration britains housing problems would be solved,3
without migration britains housing problems would be solved,3
migrants without permission to stay can still access our welfare,3
migrants without permission to stay can still access our welfare,3
asylum seekers and refugees get free council housing,3
asylum seekers and refugees can get free council housing,3
asylum seekers and refugees can get free council housing,3
asylum seekers and refugees can get free council housing and settle down permanently,3
asylum seekers and refugees can get free council housing,3
migrants put a strain on public services,3
migrants put a strain on public services like housing,3
jews are are cheap greedy and materialistic,1
jews are welthy because they are naturally good with money,1
jews are welthy because they are naturally good with money,1
jews are selfish cheap and greedy,1
jews are selfish cheap and greedy,1
jew merchants are just a bunch of crooks,1
jew merchants are just a bunch of crooks,1
jews are born greedy,1
jews are born greedy,1
jewish landlords are greedy and exploit their tenants,1
jews are cheap,1
jews are cheap and only care about their comrades,1
jews have a secret plot to take over the world,1
jews control the us government and have a secret plot to take over the world,1
jews control the us government and have a secret plot to take over the world,1
jews made the 911 attack,1
jews made the 911 attack,1
jews control the banks media hollywood even the us government jews have a secret plot to take over the world,1
jews made the 911 attack,1
jews not only run hollywood they also control the world economy,1
jews secretly control the world,1
jews own everything,1
the war in iraq is the result of a small group of jews that control the us government,1
jews control the us government,1
jews are christ killers,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are better than everyone else,1
jews think they are so special,1
jews think they are so special,1
since jews think they are the chosen people they ask for special privileges and believe they can be above the rules,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
jews are different from nonjews not because of their beliefs but because of their physical nature jewishness and malevolence is inherited through blood,1
only jews could have been smart enough to plan and execute such a complicated and intricate plot as 911,1
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants are overrunning our country and are here illegally,3
immigrants bring crime and violence to our cities,3
immigrants bring crime and violence to our cities,3
immigrants bring crime and violence to our cities,3
immigrants bring crime and violence to our cities,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the economy of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants hurt the finance of our country by taking jobs and services without paying taxes,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are entering the us just to obtain welfare and other benefits,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us only as couples to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are coming to the us to have babies here,3
immigrants are bringing diseases into the us,3
immigrants are bringing diseases into the us,3
immigrants are bringing diseases into the us,3
immigrants are bringing diseases into the us,3
immigrants are bringing diseases into the us,3
terrorists are infiltrating the us across the border with mexico,3
terrorists are infiltrating the us across the border with mexico,3
terrorists are infiltrating the us across the border with mexico,3
terrorists are infiltrating the us across the border with mexico,3
undocumented immigrants sneak across the border with mexico,3
undocumented immigrants sneak across the border with mexico,3
we have a criminality problem since most immigrants are here illegally they sneak across the border with mexico,3
migrants get 35 euros per day for idling,3
migrants get 35 euros per day for idling,3
migrants get 35 euros per day for idling,3
fucking bleeding heart why dont you host migrants in your house,3
fucking bleeding heart why dont you host migrants in your house,3
fucking bleeding hearts take migrants home with you,3
fucking bleeding heart take migrants home with you,3
fucking bleeding heart bring migrants home with you,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
migrants steal our jobs,3
gypsies get the priority for council houses,7
gypsies get the priority for council houses,7
gypsies get the priority for council houses,7
gypsies get the priority for council houses,7
migrants say they are poor but they have the iphone,3
migrants say they are poor but they have the iphone,3
migrants say they are poor but they have the iphone,3
migrants say they are poor but they have the iphone,3
migrants say they are poor but they have the iphone,3
migrants say they are poor but they have the iphone,3
we should eliminate gays,2
we should eliminate gays,2
we should eliminate gays,2
two men do not constitute a family,2
two men do not constitute a family,2
two men do not constitute a family,2
gypsies suck,7
gypsies make their children live in degradation,7
fagshit two men cannot replace a man and a woman,2
fagshit two men cannot replace a father and a mother,2
fagshit two men cannot replace a father and a mother,2
fagshit two men cannot replace a father and a mother,2
fagshit two men cannot replace a father and a mother,2
it is not a coincidence that tuberculosis reappears with the migrants invasion,3
it is no coincidence that tuberculosis appears again after the migrants invasion,3
it is not a coincidence that tuberculosis appears again with migrants invasion,3
it is not a coincidence that tuberculosis appears again with migrants invasion,3
children are not for rent,2
children cannot be bought,2
gypsies are a bunch of thieves,7
the gypsies steal the children,7
gypsies are thieves and criminals by culture,7
